110 in the Shade
Bright Star
Bring in 'da Noise, Bring in 'da Funk
Bring It On
Bring on the Girls
Bring Your Smile Along
Britannia of Billingsgate
Broadway Gondolier
Broadway Hostess
The Broadway Melody
Broadway Melody of 1936
Broadway Melody of 1938
Broadway Melody of 1940
Broadway Through a Keyhole
Brooklyn
A Broken Idol
Bronx Bombers
Bubbling Brown Sugar
Buck Benny Rides Again
Buck Privates
Buddies
Buddy – The Buddy Holly Story
Bugs Bunny on Broadway
Bugsy Malone
Bullets Over Broadway
Bundle of Joy
Bus Stop
By Jeeves
By Jupiter
By the Beautiful Sea
By the Light of the Silvery Moon
By the Way
Bye Bye Birdie
Cab Calloway's Hi-De-Ho
Cabalgata
Cabaret
Cabin in the Sky
The Caddy
La Cage aux Folles
Calamity Jane
Call Me Madam
Call Me Mister
Call of the Flesh
Calypso Heat Wave
Camelot
Camp
Can-Can
Candide
The Candy Shop
Cannibal! The Musical
Can't Help Singing
Canticle of the Plains
Canterbury Tales
Can't Stop the Music
The Capeman
Le capitaine Craddock
El Capitan
Captain January
Captain Jinks
Captain Louie
Captain of the Guard
The Card
Carefree
Carib Song
Carmelina
Carmen
Carmen Cubana
Carmen Jones
Carnival!
Carnival in Flanders
Carolina Blues
Caroline, or Change
Carousel
Carrie
Casbah
The Casino Girl
Castles in the Air
The Cat and the Fiddle
The Catch of the Season
Catch Me If You Can
Catch My Soul
A Catered Affair
Cats
Cats Don't Dance
Celebration
Centennial Summer
The Century Girl
Champagne Charlie
Charlie and the Chocolate Factory
Charlie Girl
Charlotte's Web
Charlotte Sweet
Chasing Rainbows
Chee-Chee
The Cheetah Girls
The Cheetah Girls 2
The Cheetah Girls: One World
Chess
Chicago
Children of Eden
Children In The Playground
Children's Letters to God
Chin-Chin
A Chinese Honeymoon
Chitty Chitty Bang Bang
The Chocolate Dandies
The Chocolate Soldier
A Chorus Line
Chris and the Wonderful Lamp
Christine
A Christmas Carol
The Christmas Schooner
Chronicle of a Death Foretold
Chu Chin Chow
Church Basement Ladies
Cinderella
Cinderella
Cindy
Cindy: Cendrillon 2002
The Cingalee
City of Angels
The Civil War
Clambake
A Class Act
Cleavage
Close Harmony
Closer Than Ever
Closer to Heaven
Clue
Coco
The Cocoanut Grove
The Cocoanuts
Colleen
College Humor
Colma: The Musical
The Color Purple
Come Summer
Comin' Round the Mountain
Company
Coney Island
A Connecticut Yankee
A Connecticut Yankee in King Arthur's Court
The Conquering Hero
Contact
Conversation Piece
The Co-Optimists
Copacabana
Copacabana
Copper and Brass
Corpse Bride
Cotton Patch Gospel
The Count of Luxembourg
Count To Ten
Countess Maritza
The Court Jester
Cover Girl
Cowardy Custard
Cowboy from Brooklyn
Coyote Tales
The Cradle Will Rock
Cranks
Crazy for You
Cry-Baby
Cry for Us All
Cuban Love Song
The Cuckoos
The Curious Case of the Human Being
Curley McDimple
Curly Top
Curtains
Cyrano
Cyrano: The Musical
Daddy Cool
Daddy Long Legs
Dames
Dames at Sea
Damn Yankees
Dancer in the Dark
A Damsel in Distress
Dance a Little Closer
The Dance of Life
Dance of the Vampires
Dance with Me
Dancin'
Dancing Lady
The Dancing Years
Dangerous Games
Dangerous When Wet
Darby O'Gill and the Little People
Darling Lili
Darling of the Day
A Date with Judy
A Day at the Races
The Day Before Spring
A Day in Hollywood / A Night in the Ukraine
Dear Edwina
Dear World
Dearest Enemy
Debbie Does Dallas: The Musical
Deep in My Heart
Delicious
Delightfully Dangerous
De-Lovely
Les Demoiselles de Rochefort
Departure Lounge
The Desert Song
Dessa Rose
Destry Rides Again
Destry Rides Again
Devil-May-Care
Diamonds
Dick Tracy
Different Times
Dimples
Dirty Rotten Scoundrels
Disco Inferno
The District Leader
Divorce Me, Darling!
Les Dix Commandements
Dixiana
Dixie
Do Black Patent Leather Shoes Really Reflect Up?
Do I Hear a Waltz?
Do Re Mi
Doctor Dolittle
Doctor Zhivago
Dogfight
Doll
Doll Face
Die Dollarprinzessin
A Doll's Life
The Dolly Sisters
Donnybrook!
Don't Bother Me, I Can't Cope
Don't Play Us Cheap
Doonesbury
Double or Nothing
Double Trouble
Down Argentine Way
Down to Earth
Dr. Seuss' How the Grinch Stole Christmas! The Musical
Dracula – Entre l'amour et la mort
Dracula, the Musical
Dragons
Drat! The Cat!
Dream House
Dream True
Dreamgirls
Dreams Come True
Die Drei von der Tankstelle
The Drowsy Chaperone
Dreamboats and Petticoats
Dr. Horrible's Sing-Along Blog
DuBarry Was a Lady
The Duchess of Dantzic
Duchess of Idaho
Duck Soup
Dude
Ed Gardner's Duffy's Tavern
Dumbo
Dusty – The Original Pop Diva
Eadie Was a Lady
Ebenezer Scrooge
The Earl and the Girl
Earl Carroll Vanities of 1931
Earl of Ruston
Early to Bed
Earth Girls Are Easy
The East Side of Heaven
Easter Parade
Easter Rising
Easy to Love
Eating Raoul
Ed Wynn Carnival
The Eddie Cantor Story
The Eddy Duchin Story
The Education of H*Y*M*A*N K*A*P*L*A*N
Eileen
Einbrecher
Elegies
Elegies for Angels, Punks and Raging Queens
Elf
Elisabeth
Elixier
Elsie
Emir
The Emperor Waltz
Enchanted
The Enchantress
Erminie
Ernest in Love
Eubie!
Evangeline, or The Belle of Acadia
Evening Primrose
An Evening with Beatrice Lillie
An Evening with Max Morath at the Turn of the Century
Ever Green
Every Night at Eight
Everybody Sing
Everybody's Welcome
Everyday Rapture
Everyone Says I Love You
Everything I Have is Yours
Everything Is Rhythm
Evie and the Birdman
Evil Dead: The Musical
Evita
Falsettoland
Falsettos
Fame
Fancy Nancy the Musical
Fanny
The Fantasticks
Fellowship!
Fiddler on the Roof
The Fields of Ambrosia
Finding Nemo – The Musical
Fings Ain't Wot They Used T'Be
Finian's Rainbow
Fiorello!
First Date
First Impressions
First Lady Suite
Five Guys Named Moe
The Five O'Clock Girl
The Fix
Flahooley
Flashdance the Musical
Flora the Red Menace
Florodora
Flower Drum Song
Floyd Collins
Flying High
Follies
Follow That Girl
Follow the Boys
Follow the Girls
Follow Thru
Footloose
Forever Plaid
Forbidden Zone
Forbidden Broadway
Fosse
The Four Musketeers
Foxy
Frankenstein – A New Musical
Free as Air
The Frogs
From Generation to Generation
From Here to Eternity
From Justin to Kelly
Frozen
The Full Monty
Fun Home (musical)
Funny Face
Funny Girl
Funny Lady
A Funny Thing Happened on the Way to the Forum
Gay Divorce
The Gay Life
Gay Purr-ee
A Gentleman's Guide to Love and Murder
Gentlemen Prefer Blondes
George M!
Get Used to It!
Ghost Brothers of Darkland County
Ghost the Musical
Gigi
The Girl Behind the Gun
Girl Crazy
The Girl Who Came to Supper
Glory Days
Go into Your Dance
Goblin Market
Godspell
The Golden Apple
Golden Boy
Golden Rainbow
Goldilocks
The Good Companions
Good News
Good Vibrations
The Goodbye Girl
Grab Me a Gondola
A Grand Night for Singing
Grand Hotel
The Grand Tour
The Grass Harp
Grease
Grease 2
The Great American Trailer Park Musical
Great Lady
The Great Waltz
A Greek Slave
Greenwillow
Grey Gardens
Grimm
Grind
Guys and Dolls
Gypsy
Hair
Hairspray
Half a Sixpence
Hallelujah, Baby!
Hamilton
Hands on a Hardbody
Hans Christian Andersen
The Happiest Girl in the World
The Happiest Millionaire
Happiness
Happy Days
Happy Days
Happy End
Happy Go Lovely
Harmony
Happy Hunting
The Happy Time
A Hard Day's Night
The Harvey Girls
The Hatpin
Hazel Flagg
Heathers: The Musical
Hedwig and the Angry Inch
Heart and Souls
Hello, Dolly!
Hellzapoppin
Help!
Henry, Sweet Henry
Her First Roman
Hercules
Here Comes the Groom
Here's Love
High Button Shoes
High Fidelity
High School Musical
High School Musical 2
High School Musical 3: Senior Year
High Society
High Spirits
The Hobbit
The Hoboken Chicken Emergency
Hold Everything!
Holiday Inn
Holy Musical B@man!
Home Fires
Honk!
Hooray for What!
The Hot Mikado
House of Flowers
How Now, Dow Jones
How to Eat Like a Child
How to Succeed in Business Without Really Trying
Hoy No Me Puedo Levantar
The Adventures of Huckleberry Finn
The Human Comedy
The Hunchback of Notre Dame
The Hunting of the Snark
I and Albert
I Can Get It for You Wholesale
I Can't Sing! The X Factor Musical
I Could Go on Singing
I Do! I Do!
I Don <3 u ne Mor
I Love My Wife
I Love You Because
I Love You, You're Perfect, Now Change
I Married an Angel
Idol: The Musical
If/Then
Illya Darling
Imagine Tap!
Imagine This
The Immigrant
In Dahomey
In the Heights
In Transit
In Trousers
Infertility: The Musical That's Hard to Conceive
Into the Woods
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem
Irene
Irma La Douce
Is there life after high school?
It Ain't Nothin' But the Blues
Jackpot
Jacques Brel is Alive and Well and Living in Paris
Jamaica
James Joyce's The Dead
Jane Eyre
Jekyll and Hyde
Jelly's Last Jam
Jerico-Jim Crow
Jerome Robbins' Broadway
Jerry Springer: The Opera
Jerry's Girls
Jersey Boys
Jesus Christ Superstar
Jo
john & jen
John Henry
Johnny Johnson
Johnny Pye and the Fool-Killer
Jolly Jerome
Jonah
Joseph and the Amazing Technicolor Dreamcoat
Joseph McCarthy is Alive and Living in Dade County
Juan Darién
Jubilee
Jumbo
Jump for Joy
The Jungle Book
Juno
Kean
Keating!
Kelly
The King and I
King David
Kinky Boots
Kismet
Kiss of the Spider Woman
Kiss Me, Kate
Kissing Time
Knickerbocker Holiday
Kristina från Duvemåla
A Kurt Weill Cabaret
Kronborg: 1582
Kwamina
Labyrinth
La Cage aux Folles
Ladies First
Lady and the Tramp
Lady, Be Good
The Lady Comes Across
Lady in the Dark
La La Land
La Révolution Française
The Last Empress
The Last Five Years
The Last Session
Laughing Room Only
Leader of the Pack
Leben ohne Chris
Legally Blonde
Legs Diamond
Lend Me a Tenor
Lennon
Leonard Sillman's New Faces of 1952
Les Misérables
Lestat
Let It Ride
Let My People Come
Letters from Lehrer
Die letzte Kommune
The Lieutenant
The Life
The Life and Adventures of Nicholas Nickleby
Life Begins at 8:40
The Light in the Piazza
The Light Princess
Liberty: The Siege of The Alamo
The Likes of Us
Li'l Abner
The Lion King
Little by Little
Little Fish
Little Ham
Little Johnny Jones
Little Mary Sunshine
Little Me
The Little Mermaid
Little Miss Sunshine
Little Nemo: Adventures in Slumberland
A Little Night Music
Little Shop of Horrors
Little Tramp
Little Women
Lizzie the Musical
Lock Up Your Daughters
London Calling!
London Road
Lone Star Love
Look to the Lilies
The Lord of the Rings
Loserville
Lost in the Stars
Louisiana Purchase
Love! at the Cafe!
Love from Judy
Love, Janis
Love Life
LoveMusik
Love Never Dies
The Love Note
Love Story
Lucky Stiff
Ludwig II
Lust 'n Rust
Mack & Mabel
The Mad Show
The Madwoman of Central Park West
Made in Dagenham
Maggie May
The Magic Mrs. Piggle Wiggle
The Magic of Lassie
The Maid of the Mountains
Make a Wish
Make Me a Song
Making Tracks
Mame
Mamma Mia!
Mam'zelle Champagne
The Man from Snowy River: Arena Spectacular
Man of La Mancha
The Man With a Load of Mischief
The Many Adventures of Winnie the Pooh
March of the Falsettos
Margie (Film)
Marguerite
Marie Christine
Marinka
Marry Me a Little
Martin Guerre
Mary Poppins
Matador
Matilda the Musical
Me and Juliet
Me and My Dick
Me and My Girl
Meet Me in St. Louis
Meet Mister Future
Meet the Feebles
Mein Freund Bunbury
The Me Nobody Knows
Memphis
Menopause The Musical
Merlin
Merrily We Roll Along
Metropolis
Mexican Hayride
The Mighty Kong
Milk and Honey
Million Dollar Quartet
Minimum Wage
Miss 1917
Miss Liberty
Miss Saigon
Moby Dick
Monkey Business
Moon Landing
More Than You Deserve
The Most Happy Fella
Moulin Rouge!
Movin' Out
Mozart!
Mozart, l'opéra rock
Mr. Cinders
Mr. President
Mrs Henderson Presents
Mrs. Patterson
Mrs. Santa Claus
Much Ado
Mr. Wonderful
Mulan
Mulan II
The Muppet Movie
The Music Man
Mutiny!
My Fair Lady
My Favorite Year
My Life With Albertine
My One and Only
My Scary Girl
My Son Pinocchio
The Mystery of Edwin Drood
Napoleon
Narnia
Natasha, Pierre & The Great Comet of 1812
Ned Kelly
Netru, Indru, Naalai
Never Forget
Never Gonna Dance
New Faces of 1952
New Girl in Town
Newsical
Newsies
Next to Normal
Nightingale
The Nightmare Before Christmas
Nine
Nord-Ost
No, No, Nanette
Nosferatu the Vampire
Now. Here. This.
Now Is the Time for All Good Men
Notre-Dame de Paris
No Strings
Nunsense
Nymph Errant
O Marry Me!
O Say Can You See!
O Pioneers!
Of Thee I Sing
Of V We Sing
Oh, Boy!
Oh, Captain!
Oh, Kay!
Oh, What a Lovely War!
Oil City Symphony
Oklahoma!
Oliver!
Oliver & Company
Olympus on My Mind
On a Clear Day You Can See Forever
On the Level
On the Record
On the Town
On the Twentieth Century
On Your Toes
Once
Once on This Island
Once Upon a Mattress
Once Upon a Time at the Adelphi
One and One
One Touch of Venus
The One and Only, Genuine, Original Family Band
Ordinary Days
Our House
Only the Lonely - The Roy Orbison Story
Our Miss Gibbs
Out of This World
Over Here!
Pacific 1860
Pacific Overtures
Paint Your Wagon
The Pajama Game
Pal Joey
Panama Hattie
Parade
Paramour
Paris
Paris
Passing Strange
Passion
The Passion Flower Hotel
Pegados, El Musical
Perchance to Dream
Pennies from Heaven
Perfect Harmony
The Perils of Pauline
Le Petit Prince
Peter Pan: A Musical Adventure
Peter Pan
Peter Pan
Peter Pan
Pete's Dragon
Phantom of the Opera
The Phantom of the Opera
The Phantom Tollbooth
Phi-Phi
Pickwick
Pieces of Eight
Pink Floyd – The Wall
Pinocchio
Pins and Needles
Pipe Dream
Pippin
The Pirate Queen
Plain and Fancy
Platinum
Play On!
La Plume de Ma Tante
Pocahontas
Pokémon Live!
Poor Little Rich Girl
Popeye
Porgy and Bess
Portofino
Pride and Prejudice
The Prince and the Pauper
The Producers
Promenade
Promises, Promises
Pump Boys and Dinettes
Purlie
Puteri Gunung Ledang
Quilters
Quadrophenia
The Race to Urga
Rags
Ragtime
Raisin
Randy Newman's Faust
Rebecca
Red, Hot and Blue
Red Pepper
The Red Shoes
Red, White and Maddox
Redhead
Reefer Madness
Rent
Repo! The Genetic Opera
Revolution in the Elbow of Ragnar Agnarsson Furniture Painter
Rex
Return to the Forbidden Planet
Riverwind
Road Show
Road to Morocco
Road to Singapore
Road to Utopia
Road to Zanzibar
The Roar of the Greasepaint – The Smell of the Crowd
The Robber Bridegroom
Robert and Elizabeth
Roberta
Rockabye Hamlet
Rockville
Rock 'n Roll Café
Rock of Ages
The Rocky Horror Show
Rocky the Musical
Le Roi Soleil
Romance/Romance
Romance in Hard Times
Roméo et Juliette, de la Haine à l'Amour
Rosalie
Rose-Marie
The Rothschilds
Rover Dangerfield
Royal Wedding
A Runaway Girl
Runaways
Sadie Thompson
Sail Away
St. Louis Woman
Salad Days
Sally
Saludos Amigos
Salvation
San Francisco
The Sap of Life
Sarafina!
Saratoga
Saucy Jack and the Space Vixens
Saved
Say It with Songs
Say When
Say, Darling
Scandalous
The Scarlet Pimpernel
School of Rock
Schwestern im Geiste
The Scottsboro Boys
Scrooge
Second Chance
The Secret Garden
The Secret Life of Walter Mitty
See What I Wanna See
See You Later
Seesaw
Sergeant Brue
Seussical
Seven Brides for Seven Brothers
Sgt. Pepper's Lonely Hearts Club Band
Shangri-La
She Loves Me
Shenandoah
Shinbone Alley
Shock Treatment
Shockheaded Peter
Show Boat
Showtune
Shrek the Musical
Side by Side by Sondheim
Side Show
Silk Stockings
Sing
Sing As We Go
Singin' in the Rain
Sister Act
Skyscraper
Sleeping Beauty
The Slipper and the Rose
Smike
Smile
Smiling the Boy Fell Dead
Smoke on the Mountain
Smokey Joe's Cafe
Snoopy! The Musical
Snoopy, Come Home
Snow White and the Seven Dwarfs
Snow.Wolf.Lake
Soho Cinders
Someone Like You
Something Rotten!
Song and Dance
Song of Norway
Songs for a New World
Some Like It Hot
Sophisticated Ladies
Soul Men
The Sound of Music
South Pacific
South Park: Bigger, Longer & Uncut
Spamalot
Spectacular!
The Spitfire Grill
Spring Awakening
Starlight Express
Starmania
Starmites
Starship
Starting Here, Starting Now
State Fair
Steel Pier
Stephen Ward the Musical
Step Up: All In
Stingray Sam
Stop the World – I Want to Get Off
The Story of My Life
Street Scene
"Street Dance (musical) dance
Strike Up the Band
The Stripper
The Student Prince
Subways Are For Sleeping
Sugar
Sugar Babies
Sunday in the Park with George
Sunshine on Leith
Sunset Boulevard
Sweeney Todd: The Demon Barber of Fleet Street
Sweet Charity
Sweet Smell of Success
Swing!
Swinging on a Star
The Swing Mikado
Swing Time
The Sword in the Stone
Taboo
Take Flight!
Take It Easy: Raymond Fox's New 40's Musical
Take Me Along
Taking My Turn
Tangled
Tango Argentino
Tältprojektet
Tanz der Vampire
The Tap Dance Kid
Tarzan
Teacher's Pet
The Perfect City
The Ten Commandments: The Musical
The Thing About Men
Tenacious D in The Pick of Destiny
Tenderloin
Texas Li'l Darlin'
That Midnight Kiss
The Travelling
They're Playing Our Song
Thoroughly Modern Millie
Thou Shalt Not
The Three Caballeros
Three Postcards
Three Wishes for Jamie
The Threepenny Opera
Tick, Tick... Boom!
Tickets, Please!
Tickle Me
The Tigger Movie
Timbuktu!
Tintypes
Titanic
title of show
The Adventures of Tom Sawyer
Tomorrow Morning
Tonight's the Night
Too Close to the Sun
Too Many Girls
Top Banana
Top Hat
Tovarich
The Toxic Avenger
A Tree Grows in Brooklyn
Triumph of Love
Turkish Delight the Opera
Twang!!
Twisted
Two by Two
Two Gentlemen of Verona
Two on the Aisle
Two's Company
Two Cities
The Umbrellas of Cherbourg
The Unsinkable Molly Brown
Unwritten Rules
Urinetown: The Musical
Urban Cowboy
Ushers: The Front of House Musical
The Utter Glory of Morrissey Hall
The Versailles Necklace
Very Good, Eddie
A Very Merry Unauthorized Children's Scientology Pageant
Very Warm for May
Victor/Victoria
Violet
Vivir Intentando
Wait a Minim!
Waitress
Walk a Little Faster
Walking Happy
Walmartopia
We Will Rock You
The Wedding Singer
Welcome to the Voice
The Well of Romance
Were the World Mine
West Side Story
Wetion
What Makes Sammy Run?
Where's Charley?
Whistle Down the Wind
White Christmas
Whoop Up
Whoopee!
The Who's Tommy
Wicked
Wildcat
The Wild Party
The Wild Party
The Will Rogers Follies
Willy Wonka & the Chocolate Factory
Willy Wonka
Willy Wonka Junior
The Wind in the Willows
The Wind Road Boys
Winnie the Pooh and the Blustery Day
Winnie the Pooh and a Day for Eeyore
Winnie the Pooh and the Honey Tree
Winnie the Pooh and Tigger Too
Wish You Were Here
The Witches of Eastwick
The Wiz
The Wiz
The Wizard of Oz
The Wizard of Oz
The Wizard of Oz
The Wizard of Oz
The Wizard of Oz
The Woman in White
Woman of the Year
A Wonderful Life
Wonderful Town
The Wonderful Wizard of Oz
Wonderland
Words and Music
Working
Wuthering Heights
Xanadu
A Year with Frog and Toad
Yellow Submarine
Yentl
Yes Nurse! No Nurse!
You Said It
You're a Good Man, Charlie Brown
Young Frankenstein
Your Own Thing
The Yeomen of the Guard
Zanna, Don't!
Zenda
Ziegfeld Follies
Ziegfeld Follies of 1909
Ziegfeld Follies of 1910
Ziegfeld Follies of 1911
Ziegfeld Follies of 1912
Ziegfeld Follies of 1913
Ziegfeld Follies of 1914
Ziegfeld Follies of 1915
Ziegfeld Follies of 1917
Ziegfeld Follies of 1919
Ziegfeld Follies of 1920
Ziegfeld Follies of 1921
Ziegfeld Follies of 1922
Ziegfeld Follies of 1923
Ziegfeld Follies of 1924
Ziegfeld Follies of 1927
Ziegfeld Follies of 1931
Ziegfeld Follies of 1934
Ziegfeld Follies of 1936
Ziegfeld Follies of 1943
Ziegfeld Follies of 1958
Ziegfeld Girl
Ziegfeld Girls of 1920
Ziegfeld Midnight Frolic
Ziegfeld Midnight Frolic
Ziegfeld Midnight Frolic
Ziegfeld Midnight Frolic
Ziegfeld Midnight Frolic
Ziegfeld Midnight Frolic
Zig-Zag is not a film
Zip Goes a Million
Zipp!
Zombie Prom
Zombies from The Beyond
The Zoo
Zorba
Zorro
Zuleika
